"actor_imdb_id","name","gender","birthday","actor_race"
"nm1264415","Martin Amor","m","undefined","-"
"nm0027400","S. Newton Anderson","m","1953-10-25","-"
"nm0089415","Sheraton Blount","f","undefined","-"
"nm1264630","Ann Bormann","f","undefined","-"
"nm0166646","John Clifford","m","undefined","-"
"nm0185425","Harold Coyne","m","undefined","-"
"nm0188478","Julie Croft","f","undefined","-"
"nm1263440","Penny Francis","f","undefined","-"
"nm0371753","Jane Hayward","f","undefined","-"
"nm0447611","Kenneth Kendall","m","1924-8-7","-"
"nm0473588","Vivian Kubrick","f","1960-8-5","-"
"nm0487089","Roy Lansford","m","undefined","-"
"nm7902780","Jordan Levy","m","undefined","-"
"nm0548445","Marcella Markham","f","1922-8-1","-"
"nm2066570","Irena Marr","f","undefined","-"
"nm1285458","Krystyna Marr","f","undefined","-"
"nm1263886","Kim Neil","f","undefined","-"
"nm1264700","Jane Pearl","f","undefined","-"
"nm1263957","Penny Pearl","f","undefined","-"
"nm0694138","Ivor Powell","m","1943-0-0","-"
"nm0779441","Kevin Scott","m","1928-12-10","-"
"nm0842694","John Swindells","m","1931-6-22","-"
"nm0875813","Burnell Tucker","m","undefined","-"
"nm0000246","Bruce Willis","m","1955-3-19","White"
"nm0000198","Gary Oldman","m","1958-3-21","White"
"nm0000453","Ian Holm","m","1931-9-12","White"
"nm0000170","Milla Jovovich","f","1975-12-17","White"
"nm0000676","Chris Tucker","m","1972-8-31","Black"
"nm0000580","Luke Perry","m","1966-10-11","White"
"nm0001397","Brion James","m","1945-2-20","White"
"nm0001474","Tommy 'Tiny' Lister","m","1958-6-24","-"
"nm0262968","Lee Evans","m","1964-2-25","White"
"nm0187224","Charlie Creed-Miles","m","1972-3-24","-"
"nm0872635","Tricky","m","1968-1-27","Black"
"nm0627453","John Neville","m","1925-5-2","White"
"nm0089944","John Bluthal","m","1929-8-12","-"
"nm0440913","Mathieu Kassovitz","m","1967-8-3","White"
"nm0265457","Christopher Fairbank","m","1953-10-4","-"
"nm0150976","Kim Chan","m","1917-12-28","-"
"nm0494945","Richard Leaf","m","1967-0-0","-"
"nm0908729","Julie T. Wallace","f","1961-5-28","-"
"nm0559922","Al Matthews","m","1942-11-21","-"
"nm0494069","Maïwenn","f","1976-4-17","-"
"nm0071838","John Bennett","m","1928-5-8","White"
"nm0376988","Ivan Heng","m","undefined","-"
"nm0378002","Sonita Henry","f","1977-1-23","-"
"nm0573406","Tim McMullan","m","undefined","-"
"nm0684131","Hon Ping Tang","m","undefined","-"
"nm1741597","George Khan","m","undefined","-"
"nm0400699","John Hughes","m","undefined","White"
"nm0117301","Roberto Bryce","m","undefined","-"
"nm0848071","Said Talidi","m","undefined","-"
"nm0116918","Clifton Lloyd Bryan","m","undefined","-"
"nm0123284","Justin Lee Burrows","m","undefined","-"
"nm0039262","Richard Ashton","m","1965-10-2","-"
"nm0086592","Jerome St. John Blake","m","1956-0-0","-"
"nm0597120","Kevin Molloy","m","undefined","-"
"nm0717810","Bill Reimbold","m","undefined","-"
"nm0111924","Colin Brooks","m","undefined","-"
"nm0157716","Anthony Chinn","m","1930-0-0","-"
"nm0002243","Sam Douglas","m","1957-6-17","-"
"nm0264323","Derek Ezenagu","m","undefined","-"
"nm0447986","David Kennedy","m","undefined","-"
"nm0056708","David Barrass","m","undefined","-"
"nm0598236","Roger Monk","m","undefined","-"
"nm0567881","Mac McDonald","m","1949-6-18","-"
"nm0780840","Mark Seaton","m","undefined","-"
"nm0139120","Jean-Luc Caron","m","undefined","-"
"nm0576017","Riz Meedin","m","undefined","-"
"nm0264311","Jerry Ezekiel","m","undefined","-"
"nm0654049","Indra Ové","f","1967-0-0","-"
"nm0581462","Nicole Merry","f","1980-0-0","-"
"nm0571613","Stacey McKenzie","f","undefined","-"
"nm0932432","Rachel Willis","f","1975-0-0","-"
"nm0562698","Genevieve Maylam","f","1974-9-6","-"
"nm0673533","Josie Perez","f","undefined","-"
"nm0108521","Natasha Brice","f","undefined","-"
"nm0331783","Sophia Goth","f","undefined","-"
"nm0568246","Martin McDougall","m","undefined","-"
"nm0243101","Pete Dunwell","m","undefined","-"
"nm0697367","Paul Priestley","m","undefined","-"
"nm0758485","Jason Salkey","m","1962-4-24","-"
"nm0367754","Stewart Harvey-Wilson","m","undefined","-"
"nm0279855","David Fishley","m","undefined","-"
"nm0151210","Carlton Chance","m","undefined","-"
"nm0164778","Gin Clarke","f","undefined","-"
"nm0566913","Vladimir McCrary","m","undefined","-"
"nm0660919","Aron Paramor","m","undefined","-"
"nm0750603","Alan Ruscoe","m","undefined","-"
"nm0011478","Christopher Adamson","m","undefined","-"
"nm0759291","Eve Salvail","f","1973-4-7","-"
"nm0417693","Kaleem Janjua","m","undefined","-"
"nm0879076","Tyrone Tyrell","m","undefined","-"
"nm0108248","Kevin Brewerton","m","undefined","-"
"nm0671043","Vincenzo Pellegrino","m","1967-0-0","-"
"nm0065689","Ian Beckett","m","undefined","-"
"nm0129640","Sonny Caldinez","m","1932-7-1","-"
"nm0333809","Zeta Graff","f","undefined","-"
"nm0255336","Eddie Ellwood","m","undefined","-"
"nm0950781","Yui","f","undefined","-"
"nm0210801","Laura De Palma","f","undefined","-"
"nm0191410","Michael Culkin","m","undefined","-"
"nm0572597","Lenny McLean","m","1949-4-9","-"
"nm0643098","Robert Oates","m","undefined","-"
"nm0788767","John Sharian","m","undefined","-"
"nm0930607","Fred Williams","m","undefined","-"
"nm0118423","Sibyl Buck","f","1972-5-27","-"
"nm0140590","Sarah Carrington","f","undefined","-"
"nm0946625","Ali Yassine","m","undefined","-"
"nm0118688","Sean Buckley","m","undefined","-"
"nm0581999","Dane Messam","m","undefined","-"
"nm0358254","Nathan Hamlett","m","undefined","-"
"nm0155547","Cecil Cheng","m","1925-0-0","-"
"nm0940782","Scott Woods","m","undefined","-"
"nm0215275","Leon Dekker","m","undefined","-"
"nm0308757","David Garvey","m","undefined","-"
"nm0468644","Stanley Kowalski","m","undefined","-"
"nm0931406","Omar Williams","m","undefined","-"
"nm0163444","Robert Clapperton","m","undefined","-"
"nm1025573","Robert Alexander","m","undefined","-"
"nm0296882","Mia Frye","f","1965-2-12","-"
"nm0931150","Leo Williams","m","undefined","-"
"nm0552024","C. Keith Martin","m","undefined","-"
"nm0206040","J.D. Dawodu","m","1965-4-10","-"
"nm0629491","Patrick Nicholls","m","undefined","-"
"nm0205452","Shaun Davis","m","1966-4-15","-"
"nm0305421","Roy Garcia","m","undefined","-"
"nm0313778","Alex Georgijev","m","1968-3-16","-"
"nm0346994","Marie Guillard","f","1972-6-20","-"
"nm0599336","Renee Montemayor","f","1975-5-10","-"
"nm0724779","Stina Richardson","f","undefined","-"
"nm2500965","Kristen Fick","f","undefined","-"
"nm0347015","François Guillaume","m","1947-6-24","-"
"nm1423049","Anita Koh","f","undefined","-"
"nm2151895","Kamay Lau","f","undefined","-"
"nm2712802","Tracy Redington","f","undefined","-"
"nm1556656","Gito Santana","m","undefined","-"
"nm0784262","Frank Senger","m","1954-12-10","-"
"nm1315869","Joss Skottowe","m","undefined","-"
"nm6800958","Roger Wright","m","1971-3-21","-"
"nm0000717","Kareem Abdul-Jabbar","m","1947-4-16","Black"
"nm0000978","Lloyd Bridges","m","1913-1-15","White"
"nm0336335","Peter Graves","m","1926-3-18","White"
"nm0353546","Julie Hagerty","f","1955-6-15","White"
"nm0001332","Robert Hays","m","1947-7-24","White"
"nm0000558","Leslie Nielsen","m","1926-2-11","White"
"nm0666309","Lorna Patterson","f","1956-7-1","-"
"nm0821041","Robert Stack","m","1919-1-13","White"
"nm0835992","Stephen Stucker","m","1947-7-2","-"
"nm1290293","Otto","?","1979-0-0","White"
"nm0000720","Jim Abrahams","m","1944-5-10","White"
"nm0039149","Frank Ashmore","m","1945-6-17","-"
"nm0052186","Jonathan Banks","m","1947-1-31","White"
"nm0073551","Craig Berenson","m","1959-2-8","-"
"nm0082511","Barbara Billingsley","f","1915-12-22","White"
"nm0117165","Lee Bryant","f","1945-8-31","-"
"nm0119922","Joyce Bulifant","f","1937-12-16","White"
"nm0132693","Mae E. Campbell","f","1947-3-19","-"
"nm0152537","Ted Chapman","m","1923-5-21","-"
"nm0256538","Jesse Emmett","m","undefined","-"
"nm0316709","Norman Alexander Gibbs","m","1938-0-0","-"
"nm0316837","Amy Gibson","f","1960-11-25","-"
"nm0325843","Marcy Goldman","f","undefined","-"
"nm3516679","Bob Gorman","m","undefined","-"
"nm0365283","Rossie Harris","m","1969-3-13","-"
"nm0384509","Maurice Hill","m","1918-3-1","-"
"nm0390873","David Hollander","m","1969-8-7","-"
"nm0393222","James Hong","m","1929-2-22","Asian"
"nm0393310","Howard Honig","m","1931-4-17","-"
"nm0411857","Gregory Itzin","m","1948-4-20","White"
"nm0419060","Howard Jarvis","m","1903-9-22","White"
"nm0491136","Michael Laurence","m","undefined","-"
"nm0500601","David Leisure","m","1950-11-16","White"
"nm0507881","Zachary Lewis","m","undefined","-"
"nm0540093","Barbara Mallory","f","1948-3-19","-"
"nm0569581","Maureen McGovern","f","1949-7-27","White"
"nm0576198","Nora Meerbaum","f","undefined","-"
"nm0580435","Mary Mercier","f","undefined","-"
"nm0581062","Ethel Merman","f","1908-1-16","White"
"nm0602193","Len Mooy","m","undefined","-"
"nm0625148","Ann Nelson","f","1916-5-27","White"
"nm0633176","Laura Nix","f","undefined","-"
"nm0641599","John O'Leary","m","1926-5-5","-"
"nm0642429","Cyril O'Reilly","m","1958-6-8","-"
"nm1121481","Bill Porter","m","undefined","-"
"nm0699425","Nicholas Pryor","m","1935-1-28","-"
"nm0003886","Conrad E. Palmisano","m","1948-5-1","-"
"nm0761982","Mallory Sandler","f","undefined","-"
"nm0821094","Michelle Stacy","f","undefined","-"
"nm0823593","Robert Starr","m","undefined","-"
"nm0835651","Barbara Stuart","f","1930-1-3","White"
"nm0855858","Lee Terri","f","undefined","-"
"nm0864851","Kenneth Tobey","m","1917-3-23","White"
"nm0871741","William Tregoe","m","1921-8-26","-"
"nm0879810","Hatsuo Uda","m","1948-9-17","-"
"nm0901343","Herb Voland","m","1918-10-2","-"
"nm0907858","Jimmie Walker","m","1947-6-25","Black"
"nm0924038","Jill Whelan","f","1966-9-29","White"
"nm0924424","Al White","m","1942-5-17","-"
"nm0928590","John David Wilder","m","undefined","-"
"nm1491460","Windy","m","undefined","-"
"nm0935067","Jason Wingreen","m","1920-10-9","-"
"nm0944867","Louise Yaffe","f","undefined","-"
"nm0958375","Charlotte Zucker","f","1921-3-10","-"
"nm0001878","David Zucker","m","1947-10-16","White"
"nm0958387","Jerry Zucker","m","1950-3-11","White"
"nm0086626","Larry Blake","m","undefined","-"
"nm0107702","Susan Breslau","f","undefined","-"
"nm0240239","William Duell","m","1923-8-30","-"
"nm0319831","Sandra Lee Gimpel","f","1939-9-17","-"
"nm0389003","Leslie Hoffman","f","1955-1-21","-"
"nm0456259","Bill Kirchenbauer","m","1953-2-19","White"
"nm0541657","Joyce Mandel","f","1950-3-10","-"
"nm0600521","Paula Marie Moody","f","1951-12-13","-"
"nm0001563","Kitten Natividad","f","1948-2-13","Hispanic"
"nm0627495","Robert Nevin","m","1914-10-9","-"
"nm0126267","Patrick Reynolds","m","1954-12-2","-"
"nm0724211","Leoda Richards","f","1907-3-15","-"
"nm0897141","Herb Vigran","m","1910-6-5","White"
"nm0000621","Kurt Russell","m","1951-3-17","White"
"nm0000287","William Baldwin","m","1963-2-21","White"
"nm0000134","Robert De Niro","m","1943-8-17","White"
"nm0000661","Donald Sutherland","m","1935-7-17","White"
"nm0000492","Jennifer Jason Leigh","f","1962-2-5","White"
"nm0001277","Scott Glenn","m","1941-1-26","White"
"nm0000360","Rebecca De Mornay","f","1959-8-29","White"
"nm0001263","Jason Gedrick","m","1965-2-7","White"
"nm0000687","J.T. Walsh","m","1943-9-28","White"
"nm0595166","Anthony Mockus Sr.","m","undefined","-"
"nm0949368","Cedric Young","m","undefined","-"
"nm0709263","Juan Ramírez","m","undefined","-"
"nm0143463","Kevin Casey","m","undefined","-"
"nm0569079","Jack McGee","m","1949-2-2","White"
"nm0923913","Mark Wheeler","m","undefined","-"
"nm0507963","Richard Lexsee","m","undefined","-"
"nm0406275","Beep Iams","m","undefined","-"
"nm0865276","Ryan Todd","m","1981-12-25","-"
"nm0841568","Robert Swan","m","undefined","-"
"nm0397212","Clint Howard","m","1959-4-20","White"
"nm0922328","Ron West","m","undefined","-"
"nm0189755","Kevin Crowley","m","1958-0-0","-"
"nm0764430","Carlos Sanz","m","undefined","-"
"nm0404341","Harry Hutchinson","m","undefined","-"
"nm0766773","David A.C. Saunders","m","undefined","-"
"nm0420747","Jane Jenkins","f","1943-6-5","-"
"nm0342302","Tim Grimm","m","undefined","-"
"nm0004849","David Crosby","m","1941-8-14","White"
"nm0542140","Mike Mangano","m","undefined","-"
"nm0714139","Rick Reardon","m","undefined","-"
"nm0285750","Leslie A. Ford","m","undefined","-"
"nm0114868","W. Earl Brown","m","1963-9-7","-"
"nm0126343","Robert F. Byrnes","m","undefined","-"
"nm0415326","Kathryn Jaeck","f","undefined","-"
"nm0922746","David Westgor","m","undefined","-"
"nm0728872","James Ritz","m","undefined","-"
"nm0345465","Joe Guastaferro","m","undefined","-"
"nm0378994","Don Herion","m","undefined","-"
"nm0595165","Tony Mockus Jr.","m","undefined","-"
"nm0927074","Gregory Widen","m","undefined","-"
"nm0513719","Andrew Lipschultz","m","undefined","-"
"nm0931903","Walter Williams","m","1944-2-18","-"
"nm0473075","Bob Krzeminski","m","undefined","-"
"nm0122663","F. Pat Burns","m","undefined","-"
"nm0160418","Wanda Christine","f","undefined","-"
"nm0254679","Anthony C. Ellis Jr.","m","undefined","-"
"nm0387681","Peter C. Hobert Jr.","m","undefined","-"
"nm0899689","Zita Visockis","f","undefined","-"
"nm0420952","Razz Jenkins","m","undefined","-"
"nm0355659","Irma P. Hall","f","1935-6-3","Black"
"nm0735455","Nydia Rodriguez Terracina","f","undefined","-"
"nm0720346","Hollis Resnik","f","1957-6-1","-"
"nm0727260","Don Rimgale","m","undefined","-"
"nm0509187","Dennis Liddiard","m","undefined","-"
"nm0530686","David Luckenbach","m","1957-1-18","-"
"nm0290057","Neil J. Francis Jr.","m","undefined","-"
"nm0577491","Andre Melchor","m","undefined","-"
"nm0454934","Karel King","m","undefined","-"
"nm0047974","Scott Baity","m","undefined","-"
"nm0259059","Gretchen Erickson","f","undefined","-"
"nm0261171","Joan Esposito","f","undefined","-"
"nm0723361","Bob Rice","m","undefined","-"
"nm0221889","Marcella DeTineo","f","undefined","-"
"nm0532912","Jane MacIver","f","1926-1-16","-"
"nm0826527","Burton Stencel","m","undefined","-"
"nm0551590","Robert Martell","m","undefined","-"
"nm0159648","Tony G. Chrisos","m","undefined","-"
"nm0222920","Cay DeVos","f","undefined","-"
"nm0526602","Gregory Lundsgaard","m","undefined","-"
"nm0122555","Charles Burns Jr.","m","undefined","-"
"nm0941158","Louise Woolf","f","undefined","-"
"nm0627334","Ian A. Nevers","m","undefined","-"
"nm0573045","Kelsey E. McMahon","m","undefined","-"
"nm0603951","Fidel Moreno","m","undefined","-"
"nm0372848","Zan Heber","m","undefined","-"
"nm0477202","Ilene Kwitny","f","undefined","-"
"nm0017549","Jane Alderman","f","undefined","-"
"nm0676872","Kevin Petersen","m","undefined","-"
"nm0784142","Thomas A. Senderak","m","undefined","-"
"nm0548273","Michael Allen Mark","m","undefined","-"
"nm0240009","John Duda","m","undefined","-"
"nm0373145","Jock Hedblade","m","undefined","-"
"nm0602868","Jackie Moran","m","1972-1-9","-"
"nm1371557","Larry Nazimek","m","undefined","-"
"nm0745258","William Rossman","m","undefined","-"
"nm0766771","David Saunders","m","0-8-10","-"
"nm0876387","Dan Tullis Jr.","m","undefined","-"
"nm2763473","Chuck Wagner","m","undefined","-"
"nm1656155","Linda Wylie","f","undefined","-"
"nm0000354","Matt Damon","m","1970-10-8","White"
"nm0004376","Franka Potente","f","1974-7-22","White"
"nm0004051","Brian Cox","m","1946-6-1","White"
"nm0005466","Julia Stiles","f","1981-3-28","White"
"nm0881631","Karl Urban","m","1972-6-7","White"
"nm0542759","Gabriel Mann","m","1972-5-14","White"
"nm0000260","Joan Allen","f","1956-8-20","White"
"nm0190744","Marton Csokas","m","1966-6-30","White"
"nm0303132","Tom Gallop","m","undefined","-"
"nm0066023","John Bedford Lloyd","m","1956-1-2","-"
"nm0761969","Ethan Sandler","m","1972-12-3","-"
"nm1157358","Michelle Monaghan","f","1976-3-23","White"
"nm0734558","Karel Roden","m","1962-5-18","-"
"nm0032962","Tomas Arana","m","1955-4-3","-"
"nm0968541","Oksana Akinshina","f","1987-4-19","-"
"nm0803250","Yevgeni Sitokhin","m","1959-4-14","-"
"nm1589375","Marina Weis","f","1967-0-0","-"
"nm0341377","Tim Griffin","m","1969-0-0","White"
"nm1587209","Sean Smith","m","1967-10-5","-"
"nm0468314","Maxim Kovalevski","m","1971-0-0","-"
"nm0189777","Patrick Crowley","m","undefined","-"
"nm1661218","Jon Collin Barclay","m","undefined","-"
"nm0114630","Sam Brown","m","undefined","-"
"nm0802541","Shane Sinutko","m","1965-3-16","-"
"nm0807402","Barnaby Smith","m","undefined","-"
"nm1023020","Dominique Chiout","f","1971-0-0","-"
"nm0611148","Wanja Mues","m","1973-0-0","-"
"nm0794594","Aleksey Shmarinov","m","undefined","-"
"nm0938341","Stephan Wolf-Schönburg","m","1963-0-0","-"
"nm1661232","Olov Ludwig","m","undefined","-"
"nm1661238","Keshav Nadkarni","m","undefined","-"
"nm0848742","Violetta Grafin Tarnowska Bronner","f","1938-0-0","-"
"nm1661234","Aleksey Medvedev","m","undefined","-"
"nm0239313","Aleksandr Dubina","m","undefined","-"
"nm1661211","Alexander Boyev","m","undefined","-"
"nm0542461","Claudio Maniscalco","m","1962-8-18","-"
"nm0936884","Manfred Witt","m","undefined","-"
"nm1661256","Aleksey Trotsenko","m","undefined","-"
"nm1661281","Victoria Unikel","f","undefined","-"
"nm1661278","Oksana Semenova","f","undefined","-"
"nm1661204","Vitaliy Abdulov","m","undefined","-"
"nm0774324","Dirk Schoedon","m","1964-6-20","-"
"nm0796071","Ivan Shvedoff","m","1969-9-21","-"
"nm0121141","Denis Burgazliev","m","1970-8-24","-"
"nm0928613","Nick Wilder","m","1952-12-3","-"
"nm0019133","Victor Alfieri","m","1971-7-30","-"
"nm0177933","Chris Cooper","m","1951-7-9","White"
"nm1679421","Tulsi Ram","m","undefined","-"
"nm0531808","Kelly Macdonald","f","1976-2-23","White"
"nm0175262","Billy Connolly","m","1942-11-24","White"
"nm0000668","Emma Thompson","f","1959-4-15","White"
"nm0910278","Julie Walters","f","1950-2-22","White"
"nm0001059","Robbie Coltrane","m","1950-3-30","White"
"nm0571727","Kevin McKidd","m","1973-8-9","White"
"nm0272401","Craig Ferguson","m","1962-5-17","White"
"nm0455435","Sally Kinghorn","f","undefined","-"
"nm0292115","Eilidh Fraser","f","undefined","-"
"nm5104064","Peigi Barker","f","undefined","-"
"nm2189243","Steven Cree","m","undefined","-"
"nm0700760","Steve Purcell","m","undefined","-"
"nm1625656","Callum O'Neill","m","undefined","-"
"nm0236462","Patrick Doyle","m","1953-4-6","-"
"nm0001652","John Ratzenberger","m","1947-4-6","White"
"nm0584052","Paul Sanchez","m","undefined","-"
"nm0925096","Lari White","f","1965-5-13","-"
"nm0162904","Leonid Citer","m","undefined","-"
"nm0111944","David Allen Brooks","m","1947-1-9","-"
"nm0660528","Yelena Popovic","f","undefined","-"
"nm0025649","Valentina Ananina","f","1933-5-18","-"
"nm0839532","Semion Sudarikov","m","undefined","-"
"nm0000158","Tom Hanks","m","1956-7-9","White"
"nm0901952","Peter Von Berg","m","undefined","-"
"nm0099228","Dmitri S. Boudrine","m","undefined","-"
"nm0241042","François Duhamel","m","undefined","-"
"nm0286129","Michael Forest","m","1929-4-17","-"
"nm0205630","Viveka Davis","f","1969-8-19","-"
"nm0780678","Nick Searcy","m","1959-3-7","White"
"nm0158760","Jennifer Choe","f","undefined","-"
"nm0000166","Helen Hunt","f","1963-6-15","White"
"nm0552832","Nan Martin","f","1927-7-15","White"
"nm0068679","Anne Bellamy","f","undefined","-"
"nm0504822","Dennis Letts","m","1934-9-5","-"
"nm0941781","Wendy Worthington","f","1954-9-17","-"
"nm0571612","Skye McKenzie","m","undefined","-"
"nm0928720","Valerie Wildman","f","1953-8-6","-"
"nm0240269","John Duerler","m","undefined","-"
"nm0598569","Steve Monroe","m","1972-10-30","-"
"nm0871716","Ashley Trefger","f","1989-2-17","-"
"nm0871717","Lindsey Trefger","f","1989-2-17","-"
"nm0301289","Alyssa Gainer","f","undefined","-"
"nm0301294","Kaitlyn Gainer","f","undefined","-"
"nm0301295","Lauren Gainer","f","undefined","-"
"nm4681582","Albert Pugliese","m","undefined","-"
"nm0700100","Gregory Pugliese","m","undefined","-"
"nm0718145","Brandon Reinhardt","m","undefined","-"
"nm0718161","Matthew Reinhardt","m","undefined","-"
"nm0519076","Lisa Long","f","undefined","-"
"nm0083564","Lauren Birkell","f","undefined","-"
"nm0711805","Elden Henson","m","1977-8-30","White"
"nm0821048","Timothy Stack","m","1956-11-21","-"
"nm0891138","Alice Vaughn","f","undefined","-"
"nm0064816","Chase MacKenzie Bebak","m","undefined","-"
"nm0064817","Gage Bebak","m","undefined","-"
"nm0128570","Amanda Cagney","f","undefined","-"
"nm0128571","Andrea Cagney","f","undefined","-"
"nm0783852","Fred Semmer","m","undefined","-"
"nm0783853","Peter Semmer","m","undefined","-"
"nm0174783","Joe Conley","m","1928-3-3","-"
"nm0710757","Aaron Rapke","m","1984-6-30","-"
"nm0553179","Vince Martin","m","undefined","-"
"nm0204627","Garret Davis","m","undefined","-"
"nm0010264","Jay Acovone","m","1955-8-20","-"
"nm0471258","Christopher Kriesa","m","1947-5-14","-"
"nm0636562","Chris Noth","m","1954-11-13","White"
"nm0808242","Fred Smith","?","1944-0-0","-"
"nm0732926","Michelle Robinson","f","undefined","-"
"nm0187603","Tommy Cresswell","m","undefined","-"
"nm0507338","Jenifer Lewis","f","1957-1-25","Black"
"nm0086553","Geoffrey Blake","m","1962-8-20","-"
"nm0796425","Rich Sickler","m","undefined","-"
"nm0018373","Derick Alexander","m","undefined","-"
"nm1755950","Brian Crider","m","undefined","-"
"nm3156366","Pamela Hallisey Hiss","f","undefined","-"
"nm3728507","Katelyn Nichols","f","undefined","-"
"nm0691851","Mark S. Porro","m","undefined","-"
"nm1012434","Wilson the Volleyball","?","undefined","-"
"nm0344435","Ioan Gruffudd","m","1973-10-6","White"
"nm0004695","Jessica Alba","f","1981-4-28","White"
"nm0262635","Chris Evans","m","1981-6-13","White"
"nm0004821","Michael Chiklis","m","1963-8-30","White"
"nm0573037","Julian McMahon","m","1968-7-27","White"
"nm0512934","Hamish Linklater","m","1976-7-7","White"
"nm0913488","Kerry Washington","f","1977-1-31","Black"
"nm0390229","Laurie Holden","f","1969-12-17","White"
"nm0662189","David Parker","m","undefined","-"
"nm0574081","Kevin McNulty","m","1955-12-8","-"
"nm1172764","Maria Menounos","f","1978-6-8","White"
"nm0465959","Michael Kopsa","m","1956-1-22","-"
"nm0014803","Andrew Airlie","m","1961-9-18","White"
"nm1370984","Pascale Hutton","f","1979-6-14","-"
"nm0336632","G. Michael Gray","m","1979-12-31","-"
"nm1248979","David Richmond-Peck","m","undefined","-"
"nm1095942","Penelope Corrin","f","1975-11-28","-"
"nm0491204","Aonika Laurent","f","1971-1-15","-"
"nm0774721","Jason Schombing","m","1963-3-23","-"
"nm0224423","Jason Diablo","m","undefined","-"
"nm0492687","Colin Lawrence","m","0-9-7","-"
"nm1873786","Paul Belsito","m","undefined","-"
"nm0413402","Dee Jay Jackson","m","undefined","-"
"nm0721878","Morgan Reynolds","f","undefined","-"
"nm1248373","Gina Holden","f","1975-3-17","-"
"nm1306686","Donavon Stinson","m","1976-8-25","-"
"nm0922944","Douglas Weston","m","1964-1-13","-"
"nm0017167","Tony Alcantar","m","1960-8-13","-"
"nm0187764","Brenda Crichlow","f","undefined","-"
"nm0117206","Peter Bryant","m","undefined","-"
"nm0301874","Lorena Gale","f","1958-5-9","Black"
"nm1148542","Danielle Dunn-Morris","f","undefined","-"
"nm1740381","Nicole Muñoz","f","1994-6-24","-"
"nm0004028","Daniel Bacon","m","1970-10-30","-"
"nm1970075","Bobby Bysouth","f","undefined","-"
"nm1358994","Kenny Bartram","m","undefined","-"
"nm1495326","Ronnie Renner","m","1977-6-10","-"
"nm1146662","Brian Deegan","m","1975-5-9","-"
"nm1967359","Marlaina Mah","f","undefined","-"
"nm1683858","Tre Verhoeven","f","undefined","-"
"nm1967057","Juanita Mirehouse","f","undefined","-"
"nm0802046","Stefanie Singer","f","undefined","-"
"nm1966232","Jamie Little","f","undefined","-"
"nm0009002","Doug Abrahams","m","undefined","-"
"nm0153581","Ron Chartier","m","undefined","-"
"nm0498278","Stan Lee","m","1922-12-28","White"
"nm1359255","Barbara Christabella","f","undefined","-"
"nm1970410","Sanja Banic","f","undefined","-"
"nm0388343","Ed Hodson","m","undefined","-"
"nm0818285","John Speredakos","m","1962-8-11","-"
"nm1838469","Jason Kaufman","m","undefined","-"
"nm1356159","Preston Thomas Peet","m","undefined","-"
"nm1967312","Steven Fulani Hart","m","undefined","-"
"nm0770346","Bethann Schebece","f","1968-0-0","-"
"nm1049267","Lou Torres","m","1957-12-3","-"
"nm0331162","Peggy Gormley","f","undefined","-"
"nm0879178","Maurice Tyson","m","undefined","-"
"nm1969153","Jaimie McVittie","f","undefined","-"
"nm1970649","Jenni Squair","f","undefined","-"
"nm1968384","Lia Salmond","f","undefined","-"
"nm1065187","Ellen Ewusie","f","undefined","-"
"nm1967097","Ylenia Aurucci","f","undefined","-"
